CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,Grouped_Housing_Type,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,label
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,2,112500,-13022,-1600,0,0,0,4,36,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0,0,0,157500,-18447,-4632,1,1,0,2,51,12.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,126000,-10302,-734,0,0,0,2,28,2,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,1,0,0,360000,-14369,-4633,0,1,0,2,39,12.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,126000,-18140,-4119,0,0,0,3,50,11.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,135000,-14521,-4351,0,1,0,2,40,12,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,148500,-12279,-1844,1,0,0,2,34,5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,2,126000,-10020,-1587,1,1,0,4,27,4.5,1
M,Working,Higher education,Married,House / apartment,High skill tech staff,0,1,1,135000,-9403,-1999,1,1,0,3,26,5.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,1,1,0,117000,-18877,-4593,0,0,0,2,52,12.5,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,0,0,0,270000,-15213,-1331,0,0,0,1,42,3.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,270000,-20776,-2745,1,1,0,2,57,7.5,1
F,Commercial associate,Higher education,Married,House / apartment,Managers,1,1,0,445500,-12477,-456,0,0,0,2,34,1,1
F,Commercial associate,Higher education,Married,House / apartment,Laborers,0,1,2,157500,-11221,-4244,1,1,0,4,31,11.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,292500,-10375,-962,0,0,0,2,28,2.5,1
F,Commercial associate,Secondary / secondary special,Civil marriage,Other,High skill tech staff,1,0,0,225000,-16314,-1040,1,0,0,2,45,3,1
M,Working,Higher education,Married,Other,Managers,1,1,1,450000,-18476,-2625,0,0,0,3,51,7,1
F,State servant,Higher education,Single / not married,House / apartment,Core staff,0,1,1,252000,-15978,-2389,0,0,1,2,44,6.5,1
M,Commercial associate,Higher education,Married,House / apartment,Drivers,1,1,0,202500,-15406,-1463,0,0,0,2,42,4,1
M,Commercial associate,Higher education,Married,House / apartment,Core staff,1,0,2,166500,-12312,-1199,0,0,0,4,34,3.5,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,0,1,0,135000,-18573,-930,0,1,0,2,51,2.5,1
M,Working,Higher education,Single / not married,House / apartment,Laborers,1,0,0,270000,-9087,-1682,0,0,0,1,25,4.5,1
M,Working,Incomplete higher,Married,House / apartment,Laborers,1,0,0,270000,-11955,-893,1,1,1,2,33,2.5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,0,270000,-16458,-9581,0,0,0,1,45,26,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,0,1,0,67500,-17623,-9260,0,0,0,1,48,25.5,0
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,108000,-18827,-1131,0,1,0,2,52,3,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,0,0,54000,-14415,-1801,1,0,0,2,39,5,1
M,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Security staff,0,0,0,157500,-11888,-295,0,0,0,2,33,1,0
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,0,0,67500,-18198,-2106,0,1,0,2,50,6,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,90000,-19084,-128,1,0,0,2,52,0.5,1
M,Working,Higher education,Married,House / apartment,Laborers,0,1,3,157500,-14238,-3918,0,0,0,5,39,10.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,1,1,4,112500,-13754,-4169,0,0,0,6,38,11.5,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Managers,1,1,0,225000,-10177,-189,0,0,1,1,28,0.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,1,0,0,112500,-15244,-2998,0,0,0,2,42,8,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,1,1,135000,-15114,-6250,0,0,0,2,41,17,1
M,Working,Lower secondary,Married,House / apartment,Low-skill Laborers,0,0,1,135000,-11642,-248,1,1,0,3,32,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,112500,-15852,-3304,0,0,0,2,43,9,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,0,247500,-17862,-212,0,0,0,2,49,0.5,1
M,Working,Higher education,Married,House / apartment,Managers,0,0,1,360000,-11112,-469,1,1,0,3,30,1.5,0
F,Commercial associate,Secondary / secondary special,Widow,House / apartment,Cleaning staff,0,1,0,225000,-20924,-1050,0,0,0,1,57,3,1
M,State servant,Higher education,Married,House / apartment,High skill tech staff,1,1,0,292500,-12678,-2368,0,0,0,2,35,6.5,1
F,Working,Higher education,Married,House / apartment,Managers,1,1,1,135000,-14863,-4407,0,0,0,3,41,12,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,0,1,1,157500,-14642,-345,0,0,0,3,40,1,1
F,Commercial associate,Incomplete higher,Single / not married,House / apartment,Accountants,1,1,1,292500,-13777,-348,1,1,0,2,38,1,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,247500,-14020,-3503,0,1,0,2,38,9.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,0,0,135000,-20875,-3785,0,0,0,2,57,10.5,1
F,Working,Higher education,Single / not married,House / apartment,Laborers,1,1,0,202500,-17979,-1782,1,0,0,1,49,5,0
F,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,157500,-18150,-1812,0,0,0,3,50,5,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,1,1,135000,-17315,-2128,0,0,0,2,47,6,1
M,Working,Higher education,Civil marriage,House / apartment,Managers,1,0,0,360000,-11841,-3092,1,0,0,2,32,8.5,1
M,Commercial associate,Higher education,Single / not married,House / apartment,Laborers,0,1,0,81000,-9874,-1928,0,1,0,1,27,5.5,0
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,247500,-14122,-3383,0,0,0,2,39,9.5,0
F,Commercial associate,Higher education,Married,House / apartment,Sales staff,0,1,1,135000,-10182,-971,0,0,0,3,28,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,0,2,144000,-17001,-5004,0,0,0,4,47,13.5,1
F,Working,Higher education,Married,House / apartment,Private service staff,0,1,0,135000,-22112,-8491,0,0,0,2,61,23.5,0
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,0,157500,-20163,-223,1,1,0,2,55,0.5,1
M,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,0,0,90000,-12383,-2017,1,1,0,1,34,5.5,1
M,Commercial associate,Incomplete higher,Married,House / apartment,Managers,1,1,2,270000,-15934,-3684,1,0,0,4,44,10,1
F,Commercial associate,Higher education,Single / not married,House / apartment,Managers,0,1,1,585000,-10430,-900,0,0,0,2,29,2.5,0
F,Working,Secondary / secondary special,Married,Other,Laborers,1,1,0,238500,-15423,-4003,0,0,0,2,42,11,1
F,Working,Higher education,Married,House / apartment,Core staff,0,1,0,112500,-12593,-3942,1,1,0,2,35,11,1
F,Commercial associate,Academic degree,Married,House / apartment,Sales staff,1,1,1,270000,-12155,-979,0,0,0,3,33,2.5,0
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,180000,-15153,-3143,1,1,0,2,42,8.5,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,1,1,1,270000,-16282,-2042,0,1,0,3,45,5.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Accountants,0,0,0,112500,-14667,-1048,1,1,0,2,40,3,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,1,270000,-10454,-400,0,1,1,3,29,1,1
M,Working,Incomplete higher,Married,Other,Drivers,1,0,0,157500,-10611,-982,0,1,0,2,29,2.5,1
F,Working,Higher education,Married,House / apartment,Accountants,0,1,0,274500,-21295,-2847,0,0,0,2,58,8,1
F,Working,Incomplete higher,Married,House / apartment,Sales staff,0,1,0,67500,-10759,-2171,0,1,0,2,29,6,1
F,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,0,252000,-18352,-139,1,1,0,2,50,0.5,1
F,Commercial associate,Incomplete higher,Married,House / apartment,High skill tech staff,0,0,1,180000,-14687,-7401,1,1,0,3,40,20.5,0
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,1,1,270000,-12910,-359,0,1,0,3,35,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,3,54000,-12475,-2057,0,0,0,5,34,5.5,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,0,247500,-12843,-2609,0,0,0,2,35,7,0
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Cleaning staff,0,0,0,130500,-15140,-4816,0,1,0,2,41,13,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,1,157500,-15645,-4280,0,0,0,3,43,11.5,1
F,Commercial associate,Higher education,Married,House / apartment,Core staff,0,1,2,60750,-10687,-1981,1,1,0,4,29,5.5,1
F,Pensioner,Higher education,Married,House / apartment,Accountants,1,1,0,270000,-17833,-620,0,1,0,2,49,1.5,0
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,180000,-17975,-3476,0,0,0,2,49,9.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,157500,-20976,-1776,0,0,0,2,57,5,1
M,Working,Higher education,Married,House / apartment,Managers,1,0,0,427500,-16691,-1565,1,0,0,2,46,4.5,1
F,Commercial associate,Secondary / secondary special,Single / not married,Other,Laborers,0,1,0,135000,-12921,-1679,0,0,0,1,35,4.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,112500,-14953,-1812,1,0,0,2,41,5,1
M,Commercial associate,Higher education,Married,House / apartment,Drivers,0,1,0,135000,-19147,-3303,0,0,0,2,52,9,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,135000,-18719,-1473,1,1,0,3,51,4,1
F,State servant,Higher education,Married,Other,Core staff,0,0,1,81000,-11707,-2317,0,0,0,3,32,6.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0,1,2,112500,-13814,-239,0,1,0,4,38,0.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,270000,-15646,-4614,0,0,0,3,43,12.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,157500,-13247,-5823,1,0,0,2,36,16,1
F,State servant,Higher education,Civil marriage,House / apartment,Core staff,0,0,0,234000,-21967,-5215,0,0,1,2,60,14.5,0
M,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,1,90000,-12623,-657,1,0,0,2,35,2,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,225000,-17317,-285,0,0,0,3,47,1,1
F,Working,Higher education,Married,House / apartment,High skill tech staff,1,1,1,225000,-14148,-1591,1,1,0,3,39,4.5,1
F,Working,Higher education,Single / not married,House / apartment,Accountants,0,1,1,202500,-10106,-93,0,1,0,2,28,0.5,0
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,1,157500,-15645,-4280,0,0,0,3,43,11.5,0
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,157500,-16017,-1398,0,0,0,2,44,4,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Low-skill Laborers,0,0,0,81000,-14211,-158,1,0,0,2,39,0.5,0
F,Working,Secondary / secondary special,Separated,House / apartment,Laborers,0,0,1,202500,-13939,-134,0,0,0,2,38,0.5,1
F,Working,Secondary / secondary special,Civil marriage,Other,Sales staff,1,0,0,135000,-11102,-433,1,1,0,2,30,1,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,0,0,0,175500,-18643,-658,0,0,0,1,51,2,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,112500,-9885,-2072,0,0,1,3,27,5.5,1
M,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,0,157500,-9312,-1095,0,0,1,2,26,3,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,135000,-14773,-626,0,1,0,2,40,1.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,185400,-14747,-3229,0,0,0,2,40,9,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,2,121500,-14495,-1436,0,0,0,4,40,4,0
F,Working,Higher education,Married,House / apartment,Sales staff,0,1,0,247500,-17698,-695,0,0,0,2,48,2,1
M,Working,Secondary / secondary special,Married,Other,Core staff,1,1,0,135000,-16271,-3111,0,0,0,2,45,8.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,135000,-15055,-5238,1,1,1,2,41,14.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,126000,-22780,-9830,1,0,0,2,62,27,1
M,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,1,405000,-11842,-2016,0,0,0,3,32,5.5,1
F,Working,Secondary / secondary special,Married,Other,Private service staff,1,1,1,135000,-10532,-117,0,0,0,3,29,0.5,1
F,Working,Higher education,Married,House / apartment,Core staff,1,1,4,112500,-13671,-1974,0,0,0,6,37,5.5,1
F,State servant,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,0,1,0,103500,-10961,-473,0,0,0,2,30,1.5,1
F,State servant,Higher education,Widow,House / apartment,Core staff,1,1,0,720000,-15031,-5422,1,1,0,1,41,15,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,135000,-20493,-7624,1,1,0,2,56,21,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,0,121500,-10312,-703,0,1,0,2,28,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,0,0,162000,-13128,-1048,0,0,0,2,36,3,1
M,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,1,0,225000,-13718,-3694,1,1,0,2,38,10,1
M,State servant,Secondary / secondary special,Single / not married,House / apartment,Core staff,0,1,0,216000,-14298,-2207,0,0,0,1,39,6,1
F,Commercial associate,Higher education,Civil marriage,House / apartment,Laborers,0,1,0,292500,-14522,-1552,0,0,0,2,40,4.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,202500,-15941,-5830,0,0,0,2,44,16,1
F,Working,Lower secondary,Married,House / apartment,Medicine staff,0,1,0,90000,-16684,-2451,0,0,0,2,46,6.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,225000,-13788,-640,1,0,0,3,38,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Security staff,1,1,0,54000,-19986,-891,1,1,0,2,55,2.5,1
M,Working,Higher education,Married,House / apartment,Sales staff,1,1,0,315000,-8440,-1206,0,0,0,2,23,3.5,1
F,Working,Higher education,Married,House / apartment,Accountants,1,1,1,207000,-10791,-2478,0,1,1,3,30,7,1
M,Commercial associate,Secondary / secondary special,Civil marriage,Other,Sales staff,0,0,0,270000,-8853,-984,0,0,1,2,24,2.5,1
M,Working,Higher education,Single / not married,House / apartment,Core staff,0,1,0,315000,-10874,-3084,0,0,0,1,30,8.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,0,0,0,90000,-18728,-9325,0,0,0,2,51,25.5,1
F,State servant,Secondary / secondary special,Married,House / apartment,Managers,1,1,2,315000,-12348,-1220,0,0,0,4,34,3.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,157500,-10647,-1610,0,0,0,2,29,4.5,1
F,Working,Higher education,Civil marriage,Other,Accountants,0,1,0,157500,-8238,-674,0,0,0,2,23,2,1
F,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,1,1,0,360000,-18356,-1820,0,0,0,2,50,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,225000,-11177,-4205,0,0,0,3,31,11.5,0
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,225000,-13502,-2256,1,1,0,2,37,6,1
F,Working,Incomplete higher,Single / not married,House / apartment,Laborers,0,1,0,180000,-8862,-716,0,0,0,1,24,2,1
F,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Laborers,0,1,1,135000,-14578,-7346,0,0,0,2,40,20,1
F,State servant,Higher education,Married,House / apartment,Core staff,1,1,2,225000,-11359,-1726,0,0,0,4,31,4.5,1
F,Working,Secondary / secondary special,Married,Other,Laborers,0,1,0,90000,-17708,-5555,0,0,0,2,49,15,1
F,Commercial associate,Higher education,Married,House / apartment,Cleaning staff,0,1,0,103500,-18826,-837,0,0,0,2,52,2.5,1
F,State servant,Higher education,Married,Other,Core staff,0,0,0,202500,-14562,-1287,0,1,0,2,40,3.5,0
M,State servant,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,180000,-15730,-8316,0,0,0,2,43,23,0
F,Working,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,315000,-19441,-4064,0,0,0,2,53,11,1
F,State servant,Secondary / secondary special,Civil marriage,House / apartment,Private service staff,0,1,1,202500,-15975,-8760,0,0,0,3,44,24,1
M,Working,Secondary / secondary special,Single / not married,House / apartment,Drivers,0,1,0,225000,-9926,-461,0,0,0,1,27,1.5,1
M,Working,Secondary / secondary special,Married,Other,Laborers,0,1,0,135000,-15562,-7824,0,1,0,2,43,21.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,360000,-17257,-3236,0,0,0,2,47,9,1
F,Working,Secondary / secondary special,Married,House / apartment,Drivers,0,0,0,270000,-18307,-8794,1,1,0,2,50,24,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,0,0,0,180000,-14817,-1115,0,0,1,1,41,3,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,0,0,292500,-18698,-10758,0,0,0,2,51,29.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,364500,-8351,-672,0,0,0,2,23,2,1
F,Commercial associate,Higher education,Married,House / apartment,Managers,0,1,2,126000,-12411,-1773,0,0,1,4,34,5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,2,112500,-10720,-128,1,0,0,4,29,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,202500,-19120,-3661,0,0,0,2,52,10,0
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,216000,-23071,-1618,0,0,0,2,63,4.5,1
F,State servant,Higher education,Married,House / apartment,Core staff,0,1,2,157500,-9958,-987,1,1,0,4,27,2.5,1
M,State servant,Secondary / secondary special,Married,Other,Core staff,1,0,1,166500,-12372,-5401,0,1,0,3,34,15,1
F,Working,Higher education,Married,Other,Sales staff,1,0,0,216000,-11974,-282,0,1,0,2,33,1,1
M,Working,Higher education,Married,House / apartment,Sales staff,1,1,0,135000,-10178,-777,1,0,0,2,28,2,1
F,Commercial associate,Higher education,Married,House / apartment,Laborers,1,1,0,135000,-14810,-1655,0,0,0,2,41,4.5,1
M,Commercial associate,Higher education,Married,House / apartment,Laborers,0,1,0,360000,-21135,-2862,0,0,0,2,58,8,0
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,1,1,2,202500,-13141,-1222,0,0,0,4,36,3.5,1
M,Working,Secondary / secondary special,Married,Other,Core staff,1,0,0,157500,-12374,-307,1,1,0,2,34,1,1
F,State servant,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,0,1,1,180000,-13467,-3850,0,1,0,2,37,10.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,1,157500,-13441,-3078,0,1,0,3,37,8.5,1
F,Working,Secondary / secondary special,Separated,House / apartment,Accountants,0,1,1,67500,-11126,-2087,1,1,0,2,30,5.5,1
F,Commercial associate,Higher education,Single / not married,House / apartment,Laborers,0,1,0,247500,-13788,-3822,1,1,0,1,38,10.5,1
M,Working,Higher education,Married,House / apartment,Laborers,1,1,1,270000,-17193,-1137,0,0,0,3,47,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,1,0,180000,-14321,-1537,0,0,0,2,39,4,1
F,Working,Higher education,Married,House / apartment,Accountants,0,1,0,202500,-12831,-803,1,1,0,2,35,2,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,180000,-16165,-848,1,0,0,2,44,2.5,1
M,Working,Higher education,Separated,Other,Security staff,1,1,1,225000,-17205,-2055,0,1,0,2,47,5.5,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,1,1,1,270000,-12250,-857,0,0,0,3,34,2.5,1
F,Working,Secondary / secondary special,Civil marriage,Other,Sales staff,0,0,1,157500,-11680,-3695,0,0,0,3,32,10,1
F,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,1,1,112500,-10124,-1358,0,0,0,3,28,3.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,0,1,1,112500,-11472,-1026,0,0,0,3,31,3,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,1,382500,-16269,-2728,0,0,0,3,45,7.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cleaning staff,0,1,1,45000,-15616,-1057,1,0,0,3,43,3,0
F,State servant,Higher education,Married,House / apartment,Medicine staff,1,1,0,207000,-22398,-3506,0,0,0,2,61,9.5,0
F,Working,Secondary / secondary special,Married,House / apartment,Core staff,1,1,0,391500,-16995,-7264,0,0,0,2,47,20,1
F,Working,Secondary / secondary special,Married,House / apartment,Managers,0,1,0,202500,-16299,-655,0,0,0,2,45,2,1
M,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,0,1,157500,-11653,-1617,1,0,0,3,32,4.5,1
F,State servant,Secondary / secondary special,Single / not married,Other,Medicine staff,0,0,0,157500,-9621,-1769,0,0,0,1,26,5,1
F,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,0,1,1,103500,-13340,-219,0,0,0,3,37,0.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,2,135000,-9042,-1000,0,0,0,4,25,2.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,2,112500,-11964,-4280,0,0,0,4,33,11.5,1
M,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,0,0,0,292500,-15670,-1010,1,0,0,2,43,3,1
F,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,103500,-10761,-126,0,1,0,2,29,0.5,1
M,Working,Higher education,Married,House / apartment,Laborers,1,1,0,382500,-10446,-2420,0,0,0,2,29,6.5,0
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,0,0,0,198000,-18813,-9748,0,0,0,2,52,26.5,1
F,State servant,Higher education,Separated,House / apartment,Core staff,1,1,0,360000,-19305,-1905,0,0,0,1,53,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,0,202500,-20481,-4084,0,0,0,2,56,11,1
F,Working,Higher education,Single / not married,House / apartment,Managers,0,1,0,225000,-12195,-2592,0,1,0,1,33,7,1
F,Commercial associate,Incomplete higher,Married,Other,Sales staff,0,0,0,180000,-8247,-430,1,0,1,2,23,1,1
F,Working,Higher education,Civil marriage,House / apartment,Managers,0,1,0,292500,-12554,-5326,0,0,1,2,34,14.5,1
M,Working,Higher education,Married,House / apartment,Managers,1,1,2,180000,-13174,-2477,0,0,0,4,36,7,1
F,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,1,0,1,166500,-14019,-3902,0,0,0,3,38,10.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,0,157500,-12674,-656,0,0,0,2,35,2,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,270000,-20776,-2745,1,1,0,2,57,7.5,0
F,Commercial associate,Higher education,Married,House / apartment,Core staff,0,1,1,270000,-14850,-232,0,0,1,3,41,0.5,1
F,Working,Secondary / secondary special,Married,Other,Cooking staff,0,1,0,225000,-16110,-401,0,0,0,2,44,1,1
M,Working,Higher education,Married,House / apartment,Laborers,1,1,1,270000,-17193,-1137,0,0,0,3,47,3,1
M,Working,Secondary / secondary special,Married,House / apartment,Security staff,1,0,0,202500,-20360,-400,0,0,0,2,56,1,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,0,0,157500,-19843,-1922,0,0,0,2,54,5.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Managers,1,1,0,225000,-14600,-1203,0,0,0,2,40,3.5,1
F,Commercial associate,Secondary / secondary special,Married,Other,Core staff,1,1,0,148500,-17107,-2277,0,0,0,2,47,6,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,0,0,90000,-16115,-985,0,0,0,2,44,2.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Security staff,0,1,1,247500,-17211,-408,0,1,0,3,47,1,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,1,0,157500,-17032,-7838,0,0,1,2,47,21.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,202500,-16173,-674,0,0,0,2,44,2,1
M,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,1,1,1,360000,-13940,-617,0,0,0,3,38,1.5,1
F,Commercial associate,Secondary / secondary special,Married,House / apartment,Cooking staff,0,1,0,112500,-17441,-1222,0,1,0,2,48,3.5,1
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,0,0,2,202500,-9501,-1326,0,0,0,4,26,3.5,1
M,Working,Higher education,Married,House / apartment,Laborers,1,1,0,180000,-11993,-4826,0,1,0,2,33,13,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,0,112500,-18179,-2773,0,1,0,2,50,7.5,1
M,Working,Higher education,Civil marriage,House / apartment,Laborers,0,0,2,225000,-16768,-3088,1,0,0,4,46,8.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,0,1,1,99000,-10633,-127,1,0,0,3,29,0.5,1
F,Working,Lower secondary,Married,House / apartment,Laborers,0,0,0,157500,-13838,-329,0,0,0,2,38,1,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,0,135000,-16593,-1831,0,0,0,2,45,5,1
M,Working,Secondary / secondary special,Married,House / apartment,Drivers,1,0,2,225000,-14776,-2212,0,0,0,4,40,6,0
M,Working,Secondary / secondary special,Married,House / apartment,Laborers,1,1,0,157500,-19242,-546,0,0,0,2,53,1.5,0
F,Working,Higher education,Married,House / apartment,Sales staff,1,0,0,103500,-14276,-2561,1,1,0,2,39,7,0
F,Working,Secondary / secondary special,Married,Other,Laborers,1,0,2,135000,-10018,-704,0,0,1,4,27,2,1
F,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0,1,0,112500,-9733,-187,0,0,0,1,27,0.5,1
F,Working,Secondary / secondary special,Married,House / apartment,Sales staff,1,1,1,157500,-12622,-678,0,1,0,3,35,2,1
